,Project ID,Project Name,Voluntary Registry,ARB/WAProject,Voluntary Status,Scope, Type,Reduction / Removal,Methodology / Protocol,Region,Total Credits Issued,Estimated Annual Emission Reductions,Registry / ARB / WA,CCB / Certifications,Project Type From the Registry,K_cluster,DB_cluster
3386,GS2712,GS1354 Vietnam Small Hydro PoA - Krong No 3 Hydropower Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Hydropower,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,South-Eastern Asia,49388.0,31850.0,GOLD,,"Small, Low - Impact Hydro",6,-1
3387,GS2713,GS1354 Vietnam Small Hydro PoA - Nam Chim 1A Hydropower Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Hydropower,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,South-Eastern Asia,36281.0,18893.0,GOLD,,"Small, Low - Impact Hydro",6,-1
3388,GS2714,GS1354 Vietnam Small Hydro PoA - Song Mien 5A Hydropower Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Hydropower,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,South-Eastern Asia,42530.0,16342.0,GOLD,,"Small, Low - Impact Hydro",6,-1
3389,GS2715,GS1354 Vietnam Small Hydro PoA - Ta Trach Hydropower Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Hydropower,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,South-Eastern Asia,142913.0,45394.0,GOLD,,"Small, Low - Impact Hydro",6,-1
3390,GS2718,Fuel efficient stoves for Ethiopia Programme of Activities,GOLD,No,Gold Standard Certified Design,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Sub-Saharan Africa,0.0,0.0,GOLD,,Energy Efficiency - Domestic,2,13
3391,GS2722,Fuel efficient stoves for Ethiopia Programme of Activities CPA 001,GOLD,No,Gold Standard Certified Project,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Sub-Saharan Africa,24458.0,43097.0,GOLD,,Energy Efficiency - Domestic,2,13
3392,GS2735,GS2404 International Water Purification Programme - CPA 2 Chlorine dispensers in Uganda,GOLD,No,Gold Standard Certified Project,Household & Community,Clean Water,Reduction,AMS-III.AV. Low greenhouse gas emitting water purification systems,Sub-Saharan Africa,27810.0,51415.0,GOLD,,Energy Efficiency - Domestic,18,-1
3393,GS2736,Soma District Heating Project- Zone 1,GOLD,No,Gold Standard Certified Project,Industrial & Commercial,Waste Heat Recovery,Reduction,AM0058 Introduction of a district heating system,Western Asia,59334.0,58070.0,GOLD,,Energy Efficiency - Domestic,6,-1
3394,GS2744,Project Activity for Local Improved Cookstoves in Bamako,GOLD,No,Gold Standard Certified Project,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Sub-Saharan Africa,33637.0,32913.0,GOLD,,Energy Efficiency - Domestic,2,13
3395,GS2747,African Biogas Carbon Programme (ABC) PoA,GOLD,No,Gold Standard Certified Design,Household & Community,Biodigesters,Reduction,GS TPDDTEC v 1.,Sub-Saharan Africa,0.0,0.0,GOLD,,Biogas - Heat,15,-1
