,Project ID,Project Name,Voluntary Registry,ARB/WAProject,Voluntary Status,Scope, Type,Reduction / Removal,Methodology / Protocol,Region,Total Credits Issued,Estimated Annual Emission Reductions,Registry / ARB / WA,CCB / Certifications,Project Type From the Registry,K_cluster,DB_cluster
3323,GS2566,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-054,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,70023.0,10572.0,GOLD,,Biogas - Heat,15,-1
3324,GS2567,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-055,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69102.0,10244.0,GOLD,,Biogas - Heat,15,-1
3325,GS2568,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-056,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69103.0,10244.0,GOLD,,Biogas - Heat,15,-1
3326,GS2569,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-057,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69102.0,10244.0,GOLD,,Biogas - Heat,15,-1
3327,GS2570,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-058,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,69103.0,10244.0,GOLD,,Biogas - Heat,15,30
3328,GS2571,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-059,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,69102.0,10244.0,GOLD,,Biogas - Heat,15,30
3329,GS2572,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-060,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69103.0,10244.0,GOLD,,Biogas - Heat,15,-1
3330,GS2573,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-061,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69102.0,10244.0,GOLD,,Biogas - Heat,15,-1
3331,GS2574,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-062,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69102.0,10244.0,GOLD,,Biogas - Heat,15,-1
3332,GS2575,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-063,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69340.0,10244.0,GOLD,,Biogas - Heat,15,-1
3333,GS2576,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-064,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-III.R. Methane recovery in agricultural activities at household/small farm level,Eastern Asia,69922.0,10244.0,GOLD,,Biogas - Heat,15,-1
3334,GS2577,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-065,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,71727.0,10572.0,GOLD,,Biogas - Heat,15,-1
3335,GS2578,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-066,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,71192.0,10572.0,GOLD,,Biogas - Heat,15,-1
3336,GS2579,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-067,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69102.0,10572.0,GOLD,,Biogas - Heat,15,-1
3337,GS2580,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-068,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69025.0,10296.0,GOLD,,Biogas - Heat,15,-1
3338,GS2581,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-069,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69496.0,10244.0,GOLD,,Biogas - Heat,15,-1
3339,GS2582,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-070,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69479.0,10244.0,GOLD,,Biogas - Heat,15,-1
3340,GS2583,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-071,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,69462.0,10256.0,GOLD,,Biogas - Heat,15,-1
3341,GS2584,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-072,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,70556.0,10395.0,GOLD,,Biogas - Heat,15,-1
3342,GS2585,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-073,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.I. Biogas/biomass thermal applications for households/small users,Eastern Asia,51619.0,7565.0,GOLD,,Biogas - Heat,15,-1
3343,GS2587,Henan Sheqi Xiawaxiang  Wind Farm  Phase I Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Eastern Asia,368724.0,65209.0,GOLD,,Wind,8,-1
3344,GS2588,Zhangbei Danjinghe Phase III 49.5MW Wind Power Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Eastern Asia,267639.0,99179.0,GOLD,,Wind,8,-1
3345,GS2589,"Kanfeng 15 MW Hydropower Station Project, Min County, Dingxi City Prefecture, Gansu province, China",GOLD,No,Gold Standard Certified Design,Renewable Energy,Hydropower,Reduction,AMS-I.D. Grid connected renewable electricity generation,Eastern Asia,0.0,44275.0,GOLD,,"Small, Low - Impact Hydro",6,-1
3346,GS2595,Improved Cook Stoves programme for Rwanda #CPA1 Cameroon,GOLD,No,Gold Standard Certified Design,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Sub-Saharan Africa,0.0,33799.0,GOLD,,Energy Efficiency - Domestic,2,13
3347,GS2596,Sincik Wind Power Plant,GOLD,No,Gold Standard Certified Project,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Western Asia,61323.0,47539.0,GOLD,,Wind,17,15
3348,GS2639,Daozhen Rural Methane Digesters Project in Guizhou Province.,GOLD,No,Listed,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,0.0,41135.0,GOLD,,Biogas - Heat,15,30
