project_id,project_name,voluntary_registry,arborwaproject,voluntary_status,scope,type,reduction_or_removal,methodology_or_protocol,region,country,state,project_site_location,project_developer,total_credits_issued,total_credits_retired,total_credits_remaining,total_buffer_pool_deposits,reversals_covered_by_buffer_pool,reversals_not_covered_by_buffer,first_year_of_project_(vintage),year_unknown,project_owner,offset_project_operator,authorized_project_designee,verifier,estimated_annual_emission_reductions,pers,registry_or_arb_or_wa,arb_project_detail,arb_id,poa_idoraggregate_id,corsia_eligible,project_listed,project_registered,ccb_or_certifications,project_type_from_the_registry,registry_documents,project_website,notes_from_registry,notes_from_berkeley_carbon_trading_project,added_to_database_version_-_with_data_through,unnamed:_158,"1st_issuance_yr_(no_hard_code,_hide)",unnamed:_160
GS2541,Heilongjiang Bin County Dageling and Daquanzi bundled Wind Power Project,GOLD,No,Listed,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Eastern Asia,China, , ,China Three Gorges Renewables(Group) Co. Ltd.,0.0,0.0,0.0,0.0,,,,0.0, , , , ,87112, ,GOLD, , , ,No, , , ,Wind,https://registry.goldstandard.org/projects?q=GS2541, , , ,v 1  12-2020,,0.0,1.0
VCS1314,Guohua Tongliao Kezuo Zhongqi Phase II 49.5 MW Wind Farm Project,VCS,No,Under validation,Renewable Energy,Wind,Reduction,ACM0002,Eastern Asia,China, , ,"Guohua (Tongliao) Wind Power Co., Ltd.",0.0,0.0,0.0,0.0,,,,0.0, , , , ,120475, ,VCS, , , , , , , ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/1314, , , ,v 1  12-2020,,0.0,1.0
GS10867,Charting a New Course – Carbon Insetting Program,GOLD,No,Gold Standard Certified Design,Agriculture,Sustainable Agriculture,Mixed,Other,North America,United States, , ,Bayer,0.0,0.0,0.0,0.0,,,,0.0, , , , ,0, ,GOLD, , , ,No, , , ,Other,https://registry.goldstandard.org/projects?q=GS10867, , , ,v 1  12-2020,,0.0,1.0
VCS3906,Shine I – Distribution of LED Lightbulbs in North-East India,VCS,No,Registered,Household & Community,Lighting,Reduction,AMS-II.C.,Southern Asia,India, , ,C-Quest Capital SG India LED Private Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,1115969, ,VCS, , , , , ,2024-02-14 00:00:00, ,Energy demand,https://registry.verra.org/app/projectDetail/VCS/3906, , , ,v 7  12-2022,,0.0,1.0
ACR149,"Truck Stop Electrification, North Carolina",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,NORTH CAROLINA,North Carolina,IdleAir,8488.0,8488.0,0.0,0.0,,,2004.0,0.0, , , ,"TUV SUD America, Inc.  Ruby Canyon", , ,ACR,Not ARB or Ecology Eligible, , ,No, , , ,Transport / Fleet Efficiency,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=149, , , ,v 1  12-2020,,2004.0,1.0
VCS2427,Distribution of Improved cook stove - Phase VI,VCS,No,Registered,Household & Community,Cookstoves,Reduction,AMS-II.G.,Southern Asia,India, , ,G K Energy Marketers Pvt. Ltd,55045.0,55045.0,0.0,0.0,,,2013.0,0.0, , , , ,12990, ,VCS, , , , , ,44509, ,Energy demand,https://registry.verra.org/app/projectDetail/VCS/2427, , , ,v 2  05-2021,,2013.0,1.0
GS5315,GS5304 MKOPA Solar Lighting Programme of Activities - Uganda VPA 2,GOLD,No,Gold Standard Certified Project,Renewable Energy,Solar Lighting,Reduction,AMS-III.AR. Substituting fossil fuel based lighting with LED lighting systems,Sub-Saharan Africa,Uganda, , ,Natural Capital Partners,34440.0,34440.0,0.0,0.0,,,2016.0,0.0, , , , ,42000, ,GOLD, , ,5304,No, , , ,Solar Thermal - Electricity,https://registry.goldstandard.org/projects?q=GS5315, , , ,v 1  12-2020,,2016.0,1.0
GS2521,Omdurman Landfill Municipal Solid Waste Composting Project,GOLD,No,Gold Standard Certified Design,Waste Management,Composting,Reduction,ACM0022 Alternative waste treatment processes,Northern Africa,Sudan, , ,Caspervandertak Consulting B.V.,0.0,0.0,0.0,0.0,,,,0.0, , , , ,46789, ,GOLD, , , ,No, , , ,Other,https://registry.goldstandard.org/projects?q=GS2521, , , ,v 1  12-2020,,0.0,1.0
VCS2503,Liling LFG Power Generation Project,VCS,No,Registered,Waste Management,Landfill Methane,Reduction,ACM0001,Eastern Asia,China, , ,"Zhuzhou Xinzhongshui Environmental Protection Technology Co., Ltd.",140055.0,102895.0,37160.0,0.0,,,2020.0,0.0, , , , ,96472, ,VCS, , , , , ,44498, ,Energy industries (renewable/non-renewable sources); Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/2503, , , ,v 3  11-2021,,2020.0,1.0
GS10979,Improved Cooking Stoves in Bangladesh – CPA No.16 “SZ Consultancy Services Ltd.”,GOLD,No,Gold Standard Certified Project,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Southern Asia,Bangladesh, , ,Bangladesh Bondhu Foundation,113001.0,44439.0,68562.0,0.0,,,2018.0,0.0, , , , ,49272, ,GOLD, , ,10833,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS10979, , , ,v 3  11-2021,,2018.0,1.0
