project_id,project_name,voluntary_registry,arborwaproject,voluntary_status,scope,type,reduction_or_removal,methodology_or_protocol,region,country,state,project_site_location,project_developer,total_credits_issued,total_credits_retired,total_credits_remaining,total_buffer_pool_deposits,reversals_covered_by_buffer_pool,reversals_not_covered_by_buffer,first_year_of_project_(vintage),year_unknown,project_owner,offset_project_operator,authorized_project_designee,verifier,estimated_annual_emission_reductions,pers,registry_or_arb_or_wa,arb_project_detail,arb_id,poa_idoraggregate_id,corsia_eligible,project_listed,project_registered,ccb_or_certifications,project_type_from_the_registry,registry_documents,project_website,notes_from_registry,notes_from_berkeley_carbon_trading_project,added_to_database_version_-_with_data_through,unnamed:_158,"1st_issuance_yr_(no_hard_code,_hide)",unnamed:_160
VCS806,YESIL HYDROELECTRIC POWER PLANT (HEPP),VCS,No,Registered,Renewable Energy,Hydropower,Reduction,ACM0002,Western Asia,Türkiye, , ,Yeşilbas Elektrik Üretim AŞ,35652.0,35651.0,1.0,0.0,,,2012.0,0.0, , , , ,27069.0, ,VCS, , , , , ,2020-04-06 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/806, , , ,v 1  12-2020,,2012.0,1.0
GS7400,GS5047 VPA31 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XI,GOLD,No,Gold Standard Certified Project,Household & Community,Community Boreholes,Reduction,GS TPDDTEC v3.1,Sub-Saharan Africa,Rwanda, , ,Likano Project Development GmbH,22353.0,16203.0,6150.0,0.0,,,2019.0,0.0, , , , ,8768, ,GOLD, , ,5047.0,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS7400, , , ,v 1  12-2020,,2019.0,1.0
GS7139,50 MW (DCR) Nalgonda Solar PV Power Project by Parampujya Solar Energy at Telangana,GOLD,No,Gold Standard Certified Project,Renewable Energy,Solar - Centralized,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Southern Asia,India, , ,Infinite Environmental Solutions LLP,0.0,0.0,0.0,0.0,,,,0.0, , , , ,91716, ,GOLD, , , ,No, , , ,Solar Thermal - Electricity,https://registry.goldstandard.org/projects?q=GS7139, , , ,v 1  12-2020,,0.0,1.0
GS2469,DENIZLI WPP,GOLD,No,Listed,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Western Asia,Türkiye, , ,KORDA ENERJI RETIM PAZARLAMA ITHALAT VE IHRACAT A.S.,0.0,0.0,0.0,0.0,,,,0.0, , , , ,110421, ,GOLD, , , ,No, , , ,Wind,https://registry.goldstandard.org/projects?q=GS2469, , , ,v 1  12-2020,,0.0,1.0
VCS1534,Wind Based Power Generation by Rajasthan Gum Pvt ltd (EKIESL-VCS-March- 16-01),VCS,No,Under development,Renewable Energy,Wind,Reduction,ACM0002,Southern Asia,India, , ,Rajasthan Gum Private Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,67925, ,VCS, , , , , , , ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/1534, , , ,v 1  12-2020,,0.0,1.0
GS7537,Agrahara Mini Hydel Scheme – I & II,GOLD,No,Gold Standard Certified Design,Renewable Energy,Hydropower,Reduction,AMS-I.D. Grid connected renewable electricity generation,Southern Asia,India, , ,EKI Energy Services Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,4938, ,GOLD, , , ,No, , , ,"Small, Low - Impact Hydro",https://registry.goldstandard.org/projects?q=GS7537, , , ,v 1  12-2020,,0.0,1.0
GS3013,Chi Khe Hydropower Project,GOLD,No,Gold Standard Certified Design,Renewable Energy,Hydropower,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,South-Eastern Asia,VietNam, , ,South Pole Carbon Asset Management Ltd.,0.0,0.0,0.0,0.0,,,,0.0, , , , ,91939, ,GOLD, , , ,No, , , ,"Small, Low - Impact Hydro",https://registry.goldstandard.org/projects?q=GS3013, , , ,v 1  12-2020,,0.0,1.0
VCS928,Yunnan Mangli Hydropower Project,VCS,No,Registered,Renewable Energy,Hydropower,Reduction,ACM0002,Eastern Asia,China, , ,Datang Mangli Hydropower Development Company Limit,586052.0,335333.0,250719.0,0.0,,,2010.0,0.0, , , , ,51887.0, ,VCS, , , , , ,2012-11-23 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/928, , , ,v 1  12-2020,,2010.0,1.0
GS1183,GS1183 Kenya Improved woodstoves POA ,GOLD,No,Listed,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Sub-Saharan Africa,Kenya, , ,EcoAct,0.0,0.0,0.0,0.0,,,,0.0, , , , ,0, ,GOLD, , ,1183,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS1183, , , ,v 1  12-2020,,0.0,1.0
GS6252,Accelerating Clean Cooking Solutions in the Mekong Region – Vietnam VPA03,GOLD,No,Gold Standard Certified Design,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,South-Eastern Asia,VietNam, , ,Nexus-Carbon for Development,0.0,0.0,0.0,0.0,,,,0.0, , , , ,14496, ,GOLD, , ,4978.0,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS6252, , , ,v 1  12-2020,,0.0,1.0
VCS4780,Sichuan Ganluo IFM (conversion of logged to protected forest) Project,VCS,No,Under validation,Forestry & Land Use,Improved Forest Management,Mixed,VM0010,Eastern Asia,China, , ,"Chengdu Haisha Technology Co.,Ltd.",0.0,0.0,0.0,0.0,,,,0.0, , , , ,45924.0, ,VCS, , , , , , , ,Agriculture Forestry and Other Land Use,https://registry.verra.org/app/projectDetail/VCS/4780, , , ,v11  03-2024,,0.0,1.0
GS7623,Rural electrification program Madagascar,GOLD,No,Gold Standard Certified Project,Renewable Energy,Solar - Distributed,Reduction,AMS-I.L. Electrification of rural communities using renewable energy,Sub-Saharan Africa,Madagascar, , ,atmosfair gGmbH,350.0,0.0,350.0,0.0,,,2021.0,0.0, , , , ,5000, ,GOLD, , , ,No, , , ,"Biomass, or Liquid Biofuel - Electricity",https://registry.goldstandard.org/projects?q=GS7623, , , ,v 1  12-2020,,2021.0,1.0
GS2442,The WHR Project in Zhangzhou Kibing Glass Group Co. Ltd.,GOLD,No,Gold Standard Certified Project,Industrial & Commercial,Waste Heat Recovery,Reduction,AMS-III.Q. Waste Energy Recovery (gas/heat/pressure) Projects,Eastern Asia,China, , ,Goldchina Consultancy International Co. Ltd,85819.0,85819.0,0.0,0.0,,,2012.0,0.0, , , , ,48378, ,GOLD, , , ,No, , , ,Energy Efficiency - Industrial,https://registry.goldstandard.org/projects?q=GS2442, , , ,v 1  12-2020,,2012.0,1.0
GS5047,African Improved Cookstoves and Clean Water Programme PoA,GOLD,No,Gold Standard Certified Design,Household & Community,Bundled Energy Efficiency,Reduction,GS TPDDTEC v3.1,Sub-Saharan Africa,Rwanda, , ,Likano Project Development GmbH,0.0,0.0,0.0,0.0,,,,0.0, , , , ,0, ,GOLD, , ,5047,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS5047, , , ,v 1  12-2020,,0.0,1.0
ACR343,Wabashco Clean Sweep 9,ACR,Compliance, ,Chemical Processes,Ozone Depleting Substances Recovery & Destruction,Reduction,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,United States,OHIO,Bowling Green,"Wabashco, LLC",93298.0,93298.0,0.0,0.0,,,2016.0,0.0, , , ,SCS Global Services (Scientific Certification Systems), , ,ARB,ARB Completed,CAOD5343, ,No, , , ,Ozone Depleting Substances,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=343, , , ,v 1  12-2020,,2016.0,1.0
GS3974,KM RE project,GOLD,No,Listed,Renewable Energy,Biomass,Reduction,ACM0006 Electricity and heat generation from biomass residues,Southern Asia,India, , ,Agrinergy Pte Ltd,0.0,0.0,0.0,0.0,,,,0.0, , , , ,59502, ,GOLD, , , ,No, , , ,"Biomass, or Liquid Biofuel - Cogeneration",https://registry.goldstandard.org/projects?q=GS3974, , , ,v 1  12-2020,,0.0,1.0
VCS2899,Adjusted Water Management in Rice Cultivation In Dawu County,VCS,No,On Hold - see notification letter,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,Eastern Asia,China, , ,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",240000.0,0.0,240000.0,0.0,,,2018.0,0.0, , , , ,59923, ,VCS, , , , , ,2022-08-08 00:00:00, ,Agriculture Forestry and Other Land Use,https://registry.verra.org/app/projectDetail/VCS/2899, , , ,v 5  03-2022,,2018.0,1.0
VCS1200,Guohua Wulate Zhongqi Chuanjing Phase II Wind Farm Project,VCS,No,Registered,Renewable Energy,Wind,Reduction,ACM0002,Eastern Asia,China, , ,Guohua Bayannaoer (Wulate Zhongqi) Wind  Power Co.,940858.0,643760.0,297098.0,0.0,,,2009.0,0.0, , , , ,107149, ,VCS, , , , , ,2020-04-06 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/1200, , , ,v 1  12-2020,,2009.0,1.0
GS11305,Improved Cookstove and Safe Water Programme – Kenya – VPA 47,GOLD,No,Gold Standard Certified Project,Household & Community,Clean Water,Reduction,GS Methodology for emission reductions from safe drinking water supply,Sub-Saharan Africa,Kenya, , ,Impact Carbon,29259.0,14363.0,14896.0,0.0,,,2021.0,0.0, , , , ,60000, ,GOLD, , ,11189,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS11305, , , ,v 3  11-2021,,2021.0,1.0
CAR1612,Bonos Comunitarios CO2_Ejido Kankabchen,CAR,No,Listed,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,Latin America and the Caribbean,Mexico,QUINTANA ROO,"Mexico, Quintana Roo, Jose Maria Morelos, Localidad Kakabchen",SESISA,0.0,0.0,0.0,0.0,,,,0.0,EJIDO KANKABCHEN,Servicios SilvoagropecuariosS.A. de C.V.,Servicios Silvoagropecuarios S.A. de C.V.,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.", , ,CAR,Not ARB Eligible, ,CARC1640,No,2022-09-02 00:00:00, , ,Forestry - MX,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1612,Ninguna, , ,v 6  11-2022,,0.0,1.0
GS401,Guangzhou Zhujiang Beer Methane Recovery Project (300068),GOLD,No,Gold Standard Certified Project,Waste Management,Methane Recovery in Wastewater,Reduction,AMS-I.D. Grid connected renewable electricity generation,Eastern Asia,China, , ,South Pole Carbon Asset Management Ltd.,19508.0,0.0,19508.0,0.0,,,2009.0,0.0, , , , ,28000, ,GOLD, , , ,No, , , ,Biogas - Electricity,https://registry.goldstandard.org/projects?q=GS401, , , ,v 1  12-2020,,2009.0,1.0
GS613,Integrated Biomass Energy Conservation Project - Malawi,GOLD,No,Gold Standard Certified Project,Household & Community,Bundled Energy Efficiency,Reduction,GS TPDDTEC v 1.,Sub-Saharan Africa,Malawi, , ,Hestian Innovation,256522.0,255813.0,709.0,0.0,,,2009.0,0.0, , , , ,59029, ,GOLD, , , ,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS613, , , ,v 1  12-2020,,2009.0,1.0
VCS512,"Energy efficient glass melting process at an opal glass manufacturing plant in Uttarakhand, India",VCS,No,Registered,Industrial & Commercial,Energy Efficiency,Reduction,AMS-II.D.,Southern Asia,India, , ,La Opala RG Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,4081.0, ,VCS, , , , , ,2020-04-06 00:00:00, ,Energy demand,https://registry.verra.org/app/projectDetail/VCS/512, , , ,v 1  12-2020,,0.0,1.0
VCS2964,POLATLI ENERBES BIOGAS PROJECT,VCS,No,Verification approval requested,Agriculture,Manure Methane Digester,Reduction,AM0073,Western Asia,Türkiye, , ,Multiple Proponents,0.0,0.0,0.0,0.0,,,,0.0, , , , ,529923, ,VCS, , , , , ,2023-02-03 00:00:00, ,Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/2964, , , ,v 6  11-2022,,0.0,1.0
GS1000,GS936 CookClean Ghana Limited - CPA01,GOLD,No,Listed,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Sub-Saharan Africa,Ghana, , ,ClimateCare Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,100000, ,GOLD, , ,936,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS1000, , , ,v 1  12-2020,,0.0,1.0
VCS3919,Henan Luoning Afforestation Project,VCS,No,Inactive,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003,Eastern Asia,China, , ,"Guizhou Qianhe Carbon Technology Co., Ltd",0.0,0.0,0.0,0.0,,,,0.0, , , , ,329848, ,VCS, , , , , , , ,Agriculture Forestry and Other Land Use,https://registry.verra.org/app/projectDetail/VCS/3919, , , ,v 9  11-2023,,0.0,1.0
VCS3452,Sichuan Huili Improved Forest Management Project,VCS,No,Registration request denied,Forestry & Land Use,Improved Forest Management,Mixed,VM0010,Eastern Asia,China, , ,Multiple Proponents,0.0,0.0,0.0,0.0,,,,0.0, , , , ,126366, ,VCS, , , , , , , ,Agriculture Forestry and Other Land Use,https://registry.verra.org/app/projectDetail/VCS/3452, , , ,v 6  11-2022,,0.0,1.0
ACR766,Foam Blowing Agent Project 001N,ACR,No,Completed,Chemical Processes,HFC Replacement in Foam Production,Reduction,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,North America,United States,MISSOURI,Earth City,297,790397.0,199686.0,590711.0,0.0,,,2021.0,0.0, , , ,"First Environment, Inc.", , ,ACR,Not ARB or Ecology Eligible, , ,No, , , ,Industrial Process Emissions,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=766,www.fsi.co, , ,v 8  05-2023,,2021.0,1.0
VCS307,Daegu Bangcheon-Ri Landfill gas CDM Project,VCS,No,Registered,Waste Management,Landfill Methane,Reduction,ACM0001,Eastern Asia,South Korea, , ,Daegu Metropolitan City,292467.0,292467.0,0.0,0.0,,,2006.0,0.0, , , , ,404872, ,VCS, , , , , ,2020-04-06 00:00:00, ,Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/307, , , ,v 1  12-2020,,2006.0,1.0
VCS194,Yunnan Wunihe 30 MW Hydropower Project,VCS,No,Registered,Renewable Energy,Hydropower,Reduction,ACM0002,Eastern Asia,China, , ,"Yunnan Baoshan Supahe Hydropower Development Co.,",0.0,0.0,0.0,0.0,,,,0.0, , , , ,116595, ,VCS, , , , , ,2020-04-06 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/194, , , ,v 1  12-2020,,0.0,1.0
GS10784,GS5658 VPA 24: Water is Life Madagascar,GOLD,No,Gold Standard Certified Project,Household & Community,Clean Water,Reduction,GS TPDDTEC v3.1,Sub-Saharan Africa,Madagascar, , ,Carbonsink (Carbonsink Group S.r.l.),25719.0,17956.0,7763.0,0.0,,,2020.0,0.0, , , , ,10000, ,GOLD, , ,5658,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS10784, , , ,v 1  12-2020,,2020.0,1.0
CAR1517,Two Fiets Digester,CAR,No,Registered,Agriculture,Manure Methane Digester,Reduction,CAR U.S. Livestock Protocol,North America,United States,CALIFORNIA,Tipton,"Maas Energy Works, Inc.",15158.0,0.0,15158.0,0.0,,,2020.0,0.0,"Maas Energy Works, Inc.",Two Fiets,"Maas Energy Works, Inc.", , , ,CAR,Not ARB Eligible, , ,No,2021-11-03 00:00:00,2022-11-09 00:00:00, ,Livestock Gas Capture/Combustion,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1517, , , ,v 3  11-2021,,2020.0,1.0
GS7683,Emission free electricity generation at Harihar Karnataka,GOLD,No,Gold Standard Certified Project,Renewable Energy,Wind,Reduction,AMS-I.D. Grid connected renewable electricity generation,Southern Asia,India, , ,EKI Energy Services Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,11569, ,GOLD, , , ,No, , , ,Wind,https://registry.goldstandard.org/projects?q=GS7683, , , ,v 1  12-2020,,0.0,1.0
GS12177,GS1247 VPA 316 Guatemala Improved Cookstoves Project,GOLD,No,Gold Standard Certified Design,Household & Community,Cookstoves,Reduction,GS MS Simplified Methodology for Efficient Cookstoves v1.1,Latin America and the Caribbean,Guatemala, , ,CO2balance UK ltd,0.0,0.0,0.0,0.0,,,,0.0, , , , ,10000, ,GOLD, , ,1247,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS12177, , , ,v 9  11-2023,,0.0,1.0
ACR564,Tradewater HFC Reclamation,ACR,No,Completed,Chemical Processes,HFC Refrigerant Reclamation,Reduction,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",North America,United States,ILLINOIS,Chicago,"Tradewater, LLC",10352.0,10352.0,0.0,0.0,,,2019.0,0.0, , , ,"TUV SUD America, Inc.  Ruby Canyon", , ,ACR,Not ARB or Ecology Eligible, , ,Yes, , , ,Industrial Process Emissions,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=564,Tradewater.us, , ,v 2  05-2021,,2019.0,1.0
GS12405,Improved Cookstove and Safe Water Programme – Nigeria - VPA 89,GOLD,No,Listed,Household & Community,Clean Water,Reduction,GS Methodology for emission reductions from safe drinking water supply,Sub-Saharan Africa,Nigeria, , ,Impact Carbon,0.0,0.0,0.0,0.0,,,,0.0, , , , ,60000, ,GOLD, , ,11189,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS12405, , , ,v10  12-2023,,0.0,1.0
VCS4705,KIS BIOFUELS- UKINDO PROJECT,VCS,No,Under validation,Waste Management,Methane Recovery in Wastewater,Reduction,AMS-III.H.,South-Eastern Asia,Indonesia, , ,KNOWLEDGE INTEGRATION SERVICES SINGAPORE PTE. LTD.,0.0,0.0,0.0,0.0,,,,0.0, , , , ,43756.0, ,VCS, , , , , , , ,Energy industries (renewable/non-renewable sources); Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/4705, , , ,v10  12-2023,,0.0,1.0
GS11274,Improved Cookstove and Safe Water Programme – Nigeria – VPA 16,GOLD,No,Gold Standard Certified Project,Household & Community,Clean Water,Reduction,GS Methodology for emission reductions from safe drinking water supply,Sub-Saharan Africa,Nigeria, , ,Impact Carbon,99290.0,418.0,98872.0,0.0,,,2021.0,0.0, , , , ,60000, ,GOLD, , ,11189,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS11274, , , ,v 3  11-2021,,2021.0,1.0
GS621,Mosa POME Methane Capture Project,GOLD,No,Gold Standard Certified Project,Waste Management,Methane Recovery in Wastewater,Reduction,AMS-I.D. Grid connected renewable electricity generation,Oceania,Papua New Guinea, , ,Carbon Bridge Pte Ltd,55390.0,0.0,55390.0,0.0,,,2012.0,0.0, , , , ,63005, ,GOLD, , , ,No, , , ,Biogas - Electricity,https://registry.goldstandard.org/projects?q=GS621, , , ,v 1  12-2020,,2012.0,1.0
CAR1021,EOS ARB ODS 2013-8,CAR,Compliance,Completed,Chemical Processes,Ozone Depleting Substances Recovery & Destruction,Reduction,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,United States,ARKANSAS,El Dorado,EOS Climate Inc.,67490.0,67490.0,0.0,0.0,,,2014.0,0.0,EOS Climate Inc.,EOS Climate Inc., ,NSF International, , ,ARB,Active ARB Project,CAOD5048, ,No,2013-12-24 00:00:00,2014-04-11 00:00:00, ,Ozone Depleting Substances - U.S. - ARB Compliance,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1021,www.eosclimate.com, , ,v 1  12-2020,,2014.0,1.0
CAR402,The Dry Creek Dairy BioFactory Project,CAR,Early Action,Completed,Agriculture,Manure Methane Digester,Reduction, ,North America,United States,IDAHO,Hansen,"Camco International Group, Inc.",148563.0,148563.0,0.0,0.0,,,2008.0,0.0,"Camco International Group, Inc.","Camco International Group, Inc.", , , , ,ARB,Not ARB Eligible, , ,No,2008-10-02 00:00:00,2010-07-13 00:00:00, ,Livestock Gas Capture/Combustion,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=402, , , ,v 1  12-2020,,2008.0,1.0
VCS262,"6.5MW WHR Project in Huasheng Tianya Cement Co., Ltd.",VCS,No,Registered,Industrial & Commercial,Waste Heat Recovery,Reduction,ACM0002,Eastern Asia,China, , ,"Huasheng Tianya Cement Co., Ltd.",38695.0,38695.0,0.0,0.0,,,2007.0,0.0, , , , ,38400, ,VCS, , , , , ,2020-04-06 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/262, , , ,v 1  12-2020,,2007.0,1.0
CAR1562,Hamptons Road Recovery Center,CAR,No,Registered,Waste Management,Landfill Methane,Reduction,CAR U.S. Landfill Protocol,North America,United States,VIRGINIA,Virginia Beach,"Anew Environmental, LLC",14085.0,0.0,14085.0,0.0,,,2021.0,0.0,"Anew Environmental, LLC", , ,"Agri-Waste Technology, Inc.", , ,CAR,Not ARB Eligible, , ,No,2022-05-06 00:00:00,2024-01-05 00:00:00, ,Landfill Gas Capture/Combustion,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1562, , ,"The project developer through v10 was Element Markets Emissions, LLC",v 6  11-2022,,2021.0,1.0
GS1345,Song Bung 6 Hydropower Project,GOLD,No,Gold Standard Certified Design,Renewable Energy,Hydropower,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,South-Eastern Asia,VietNam, , ,Vietnam Carbon Assets Ltd.,0.0,0.0,0.0,0.0,,,,0.0, , , , ,64199, ,GOLD, , , ,No, , , ,"Small, Low - Impact Hydro",https://registry.goldstandard.org/projects?q=GS1345, , , ,v 1  12-2020,,0.0,1.0
VCS2026,Allain Duhangan Hydroelectric Project (ADHP),VCS,No,Registered,Renewable Energy,Hydropower,Reduction,ACM0002,Southern Asia,India, , ,AD Hydro Power Limited,1535217.0,1086426.0,448791.0,0.0,,,2016.0,0.0, , , , ,494668, ,VCS, , , , , ,2021-01-28 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/2026, , , ,v 1  12-2020,,2016.0,1.0
GS12293,Renew Sakhi Improved Cookstove - 2,GOLD,No,Listed,Household & Community,Cookstoves,Reduction,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,Southern Asia,India, , ,RENEW POWER SYNERGY PRIVATE LIMITED,0.0,0.0,0.0,0.0,,,,0.0, , , , ,140049, ,GOLD, , ,12292,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS12293, , , ,v 9  11-2023,,0.0,1.0
VCS78,NOBRECEL Biomass energy project,VCS,No,Registered,Renewable Energy,Biomass,Reduction,ACM0006,Latin America and the Caribbean,Brazil, , ,EcoSecurities International Limited,632134.0,410995.0,221139.0,0.0,,,2002.0,0.0, , , , ,76743.0, ,VCS, , , , , ,2020-04-06 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/78, , , ,v 1  12-2020,,2002.0,1.0
VCS821,13.95 MW grid connected wind electricity generation by SRF Limited,VCS,No,Registered,Renewable Energy,Wind,Reduction,AMS-I.D.,Southern Asia,India, , ,SRF Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,34886.0, ,VCS, , , , , ,2020-04-06 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/821, , , ,v 1  12-2020,,0.0,1.0
VCS1329,Maísa REDD+ Project,VCS,No,Inactive,Forestry & Land Use,REDD+,Reduction,VM0015,Latin America and the Caribbean,Brazil, , ,Multiple Proponents,634948.0,541774.0,93174.0,131600.0,,,2013.0,0.0, , , , ,67458, ,VCS, , , , , ,2020-04-06 00:00:00, ,Agriculture Forestry and Other Land Use,https://registry.verra.org/app/projectDetail/VCS/1329, , , ,v 1  12-2020,,2013.0,1.0
GS736,Gumuþkoy 13.2 MW Geothermal Power Project Turkey,GOLD,No,Gold Standard Certified Design,Renewable Energy,Geothermal,Reduction,AMS-I.D. Grid connected renewable electricity generation,Western Asia,Türkiye, , ,FutureCamp Climate GmbH,0.0,0.0,0.0,0.0,,,,0.0, , , , ,40000, ,GOLD, , , ,No, , , ,Geothermal,https://registry.goldstandard.org/projects?q=GS736, , , ,v 1  12-2020,,0.0,1.0
GS660,Lam Soon Wastewater Treatment for Energy Generation Trang,GOLD,No,Gold Standard Certified Project,Waste Management,Methane Recovery in Wastewater,Reduction,AMS-III.H. Methane recovery in wastewater treatment,South-Eastern Asia,Thailand, , ,Swiss Carbon Assets Ltd.,1892.0,0.0,1892.0,0.0,,,2014.0,0.0, , , , ,9754, ,GOLD, , , ,No, , , ,Biogas - Electricity,https://registry.goldstandard.org/projects?q=GS660, , , ,v 1  12-2020,,2014.0,1.0
GS1172,Indonesia Domestic Biogas Programme of Activities (IDBP),GOLD,No,Gold Standard Certified Design,Household & Community,Biodigesters,Reduction,GS TPDDTEC v 1.,South-Eastern Asia,Indonesia, , ,PT BIRU KARBON NUSANTARA,0.0,0.0,0.0,0.0,,,,0.0, , , , ,0, ,GOLD, , ,1172,No, , , ,Biogas - Heat,https://registry.goldstandard.org/projects?q=GS1172, , , ,v 1  12-2020,,0.0,1.0
VCS629,The Korea Energy Foundation (KEF) old refrigerator replacement for lowincome,VCS,No,Registered,Household & Community,Bundled Energy Efficiency,Reduction,AMS-II.C.,Eastern Asia,South Korea, , ,The Korea Energy Foundation (KEF),0.0,0.0,0.0,0.0,,,,0.0, , , , ,848.0, ,VCS, , , , , ,2020-04-06 00:00:00, ,Energy demand,https://registry.verra.org/app/projectDetail/VCS/629, , , ,v 1  12-2020,,0.0,1.0
CAR1057,T&M Hidden View Dairy,CAR,Compliance,Registered,Agriculture,Manure Methane Digester,Reduction,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,United States,INDIANA,"Rensselaer, Indiana",ClimeCo LLC,68940.0,65685.0,3255.0,0.0,,,2013.0,0.0,ClimeCo LLC,ClimeCo Corporation, ,"Ruby Canyon Engineering, Inc.", , ,ARB,Active ARB Project,CALS5046, ,No,2014-02-19 00:00:00,2015-01-07 00:00:00, ,Livestock - ARB Compliance,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1057, , , ,v 1  12-2020,,2013.0,1.0
GS11489,GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 34 - GS11489,GOLD,No,Gold Standard Certified Project,Household & Community,Bundled Energy Efficiency,Reduction,AMS-I.A. Electricity generation by the user,Southern Asia,India, , ,MicroEnergy Credits,68829.0,0.0,68829.0,0.0,,,2021.0,0.0, , , , ,526580, ,GOLD, , ,11450,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS11489, , , ,v 6  11-2022,,2021.0,1.0
ACR464,Foam Blowing Agent Project 001H,ACR,No,Completed,Chemical Processes,HFC Replacement in Foam Production,Reduction,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,North America,United States,MISSOURI,Earth City,297,66273.0,66273.0,0.0,0.0,,,2012.0,0.0, , , ,"First Environment, Inc.", , ,ACR,Not ARB or Ecology Eligible, , ,No, , , ,Industrial Process Emissions,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=464, , , ,v 1  12-2020,,2012.0,1.0
